domainOrRaange,article,written_singular,written_plural
dbo:Country,neuter,Land,Länder
dbo:City,feminine,Stadt,Städte
dbo:City,feminine,Stadt,Städte
dbo:Lighthouse,masculine,Leuchtturm,Leuchttürme
dbo:Country,neuter,Land,Länder
dbo:Location,feminine,Lage,Lagen
dbo:WrittenWork,neuter,Werk,Werke
dbo:Person,masculine,Person,Personen
dbo:Band,neuter,Band,Bande
dbo:Person,masculine,Person,Personen
dbo:IceHockeyLeague,feminine,Liga,Ligen
dbo:Musical,neuter,Musical,Musicals
dbo:Person,masculine,Person,Personen
dbo:Person,masculine,Person,Personen
dbo:Publisher,masculine,Herausgeber,Herausgeber
dbo:City,feminine,Stadt,Städte
dbo:Country,neuter,Land,Länder
dbo: Software,feminine,Software,Software
dbo:Place,feminine,Lage,Lagen
dbo:Person,masculine,Person,Personen
dbo:Politician,masculine,Politiker,Politiker
dbo:Politician,masculine,Politiker,Politiker
dbo:Country,neuter,Land,Länder
dbo:Person,masculine,Person,Personen
dbo:Person,masculine,Person,Personen
dbo:Country,neuter,Land,Länder
dbo:VideoGame,neuter,Videospiel,Videospiele
dbo:FictionalCharacter,musculine,Erfundener Charakter,Erfundener Charaktere
dbo:Legislature,feminine,Legislative,Legislativen
dbo:Legislature,feminine,Legislative,Legislativen
dbo:Town,feminine,Stadt,Städte
dbo:City,feminine,Stadt,Städte
dbo:Person,masculine,Person,Personen
dbo:Person,masculine,Person,Personen
dbo:Town,feminine,Stadt,Städte
dbo:Food,neuter,Essen,Essen
dbo:Person,masculine,Person,Personen
dbo:Person,feminine,dbo:Person,Personen
dbo:Politician,masculine,Politiker,Politiker
dbo:Person,masculine,Person,Personen
dbo:FictionalCharacter,masculine,erfundener Charakter,Erfundener Charakter
dbo:SportsClub,masculine,Sportclub,Sportclubs
dbo:Person,masculine,Person,Personen
dbo:City,feminine,Stadt,-
dbo:Person,feminine,Person,Personen
dbo:Person,feminine,Person,Personen
xsd:integer,feminine,-,-
dbo:Language,feminine,Sprache,Sprachen
xsd:double,feminine,-,-
dbo:Person,feminine,Person,Personen
dbo:Person,masculine,Person,Personen
dbo:Person,feminine,Person,Personen
dbo:Person,feminine,dbo:Person,Personen
dbo:CollegeCoach,masculine,Trainer,Trainer
dbo:Person,masculine,Person,Personen
dbo:Person,feminine,dbo:Person,Personen
dbo:Person,feminine,dbo:Person,Personen
dbo:Company,feminine,Firma,Firmen
xsd:String,-,-,-
