LemonEntry,partOfSpeech,writtenForm,SyntacticFrame,copulativeSubject,attributiveArg,sense,reference,owl:onProperty,owl:hasValue,domain,range
algerian_m,adjective,algerino,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Algeria,dbo:Person,dbo:Artist
algerian_f,adjective,algerina,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Algeria,dbo:Person,dbo:Artist
algerian_p,adjective,algerini,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Algeria,dbo:Person,dbo:Artist
australian_m,adjective,australiano,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Australia,dbo:Person,dbo:Artist
australian_f,adjective,australliana,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Australia,dbo:Person,dbo:Artist
australian_p,adjective,australiani,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Australia,dbo:Person,dbo:Artist
belgian_m_f,adjective,belga,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Belgium,dbo:Person,dbo:Artist
belgian_p,adjective,belgi,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Belgium,dbo:Person,dbo:Artist
greek_m,adjective,greco,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Greece,dbo:Person,dbo:Artist
greek_f,adjective,greca,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Greece,dbo:Person,dbo:Artist
greek_p,adjective,greci,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Greece,dbo:Person,dbo:Artist
danish_m_f,adjective,danese,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Denmark,dbo:Person,dbo:Artist
danish_p,adjective,danesi,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Denmark,dbo:Person,dbo:Artist
andorran_m,adjective,andorrano,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Andorra,dbo:Person,dbo:Artist
andorran_f,adjective,andorrana,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Andorra,dbo:Person,dbo:Artist
andorran_p,adjective,andorrani,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Andorra,dbo:Person,dbo:Artist
aruban_m,adjective,arubano,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Aruba,dbo:Person,dbo:Artist
aruban_f,adjective,arubana,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Aruba,dbo:Person,dbo:Artist
aruban_p,adjective,arubani,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Aruba,dbo:Person,dbo:Artist
angolan_m,adjective,angolano,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Angola,dbo:Person,dbo:Artist
