LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,writtenFormPastPassive,SyntacticFrame,subject,directObject,sense,reference,domain,range,domainArticle,domainWrittenSingular,domainWrittenPlural,rangeArticle,rangeWrittenSingular,rangeWrittenPlural,passivePreposition
Develop_1,verb,sviluppare,sviluppa,ha sviluppato,è stato sviluppato,TransitiveFrame,domain,range,1,dbo:product,dbo:Company,dbo:Software,feminine_la,compagnia,compagnie,masculine_il,software,software,da
Develop_2,verb,sviluppare,sviluppa,ha sviluppato,è stato sviluppato,TransitiveFrame,range,domain,1,dbo:developer,dbo:Work,dbo:Agent,feminine_l,opera,opere,masculine_l,agente,agenti,da
Develop_3,verb,creare,crea,ha creato,è stata creata,TransitiveFrame,range,domain,1,dbo:developer,dbo:Work,dbo:Agent,feminine_l,opera,opere,masculine_l,agente,agenti,da
marry,verb,sposarsi,si sposa,ha sposato,è stato sposato,TransitiveFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person,feminine_la,persona,persone,feminine_la,persona,persone,da
paint,verb,dipingere,dipinge,ha dipinto,è stato dipinto,TransitiveFrame,range,domain,1,dbp:artist,dbo:Work,dbo:Person,feminine_l,opera,opere,feminine_la,persona,persone,da
exhibit,verb,esporre,espone,ha esposto,è esposto,TransitiveFrame,range,domain,1,dbo:museum,dbo:Artwork,dbo: Museum,feminine_l,opera,opere,masculine_il,museo,musei,da
discover,verb,scoprire,scopre,ha scoperto,è stato scoperto,TransitiveFrame,range,domain,1,dbo:discoverer,dbo:Planet,dbo:Person,masculine_il,pianeta,pianeti,feminine_la,persona,persone,da
cross,verb,attraversare,attraversa,ha attraversato,è attraversato,TransitiveFrame,range,domain,1,dbo:crosses,dbo:Bridge,dbo:River,masculine_il,ponte,pont,masculine_il,fiume,fiumi,da
win,verb,vincere,vince,ha vinto,è stato vinto,TransitiveFrame,range,domain,1,dbo:award,dbo:Scientist,dbo:Award,masculine_lo,scienziato,scienziati,masculine_il,premio,premi,da
create_1,verb,creare,creato,creato,creato,TransitiveFrame,range,domain,1,dbo:creator,dbo:TelevisionShow,dbo:Agent,masculine_lo,show televisivo,show televisivi,masculine_l,agente,agenti,da
create_2,verb,creare,creato,creato,creato,TransitiveFrame,range,domain,1,dbo:author,dbo:Website,dbo:Agent,masculine_lo,luogo,luogo,masculine_l,agente,agenti,da
create_3,verb,creare,creato,creato,creato,TransitiveFrame,range,domain,1,dbo:developer,dbo:VideoGame,dbo:Agent,masculine_il,videogioco,videogioco,masculine_l,agente,agenti,da
create_4,verb,creare,creato,creato,creato,TransitiveFrame,domain,range,1,dbo:creator,dbo:TelevisionShow,dbo:Person,masculine_lo,serie televisive,serie televisive,feminine_la,persona,persone,da
write_1,verb,scrivere,scrive,ha scritto,è stata scritta,TransitiveFrame,range,domain,1,dbo:writer,dbo:Song,dbo:Person,feminine_la,canzone,canzoni,feminine_la,persona,persone,da
write_2,verb,scrivere,scrive,ha scritto,è stata scritta,TransitiveFrame,range,domain,1,dbo:author,dbo:WrittenWork,dbo:Person,feminine_la,libro,libro,feminine_la,persona,persone,da
write_3,verb,scrivere,scrive,ha scritto,è stato scritto,TransitiveFrame,range,domain,1,dbo:composer,dbo:TelevisionShow,dbo:Person,masculine_lo,show televisivo,show televisivi,feminine_la,persona,persone,da
starr,verb,recitare in,recita in,ha recitato in,è recitato,TransitiveFrame,range,domain,1,dbo:starring,dbo:Film,dbo:Person,masculine_il,film,films,masculine_l,attore,attori,da
operate_1,verb,operare,opera,ha operato,è operato,TransitiveFrame,range,domain,1,dbp:operator,dbo:LaunchPad,dbo:Organisation,feminine_la,rampa di lancio,rampe di lancio,masculine_l,organizzazione,organizzazioni,da
play_1,verb,interpretare,interpreta,ha interpretato,è interpretato,TransitiveFrame,range,domain,1,dbp:portrayer,dbo:FictionalCharacter,dbo:Person,masculine_il,personaggio fittizio,personaggi fittizi,feminine_la,persona,persone,da
play_2,verb,interpretare,interpreta,ha interpretato,è interpretata,TransitiveFrame,range,domain,1,dbo:portrayer,dbo:Work,dbo:Person,feminine_la,opera,opere,masculine_l,attore,attori,da
publish_1,verb,pubblicare,pubblica,ha pubblicato,è pubblicato,TransitiveFrame,range,domain,1,dbo:publisher,dbo:Book,dbo:Agent,masculine_il,libro,libri,masculine_l,agente,agenti,da
publish_2,verb,pubblicare,pubblica,ha pubblicato,è pubblicato,TransitiveFrame,range,domain,1,dbo:publisher,dbo:Publisher,dbo:Agent,masculine_il,videogioco,videogiochi,masculine_l,agente,agenti,da
direct_1,verb,dirigere,dirige,ha diretto,è stato diretto,TransitiveFrame,range,domain,1,dbo:director,dbo:Film,dbo:Person,masculine_il,film,film,feminine_la,persona,persone,da
serve_1,verb,servire,serve,ha servito,è servito,TransitiveFrame,range,domain,1,dbo:targetAirport,dbo:Airline,dbo:Airport,feminine_la,compagnia aerea,compagnie aeree,masculine_l,aeroporto,aeroporti,da
design_1,verb,progettare,progetta,ha progettato,è stato progettato,TransitiveFrame,range,domain,1,dbo:architect,dbo:ArchitecturalStructure,dbo:Architect,feminine_la,struttura,struttura,masculine_l,architetto,architetti,da
publish_1,verb,pubblicare,pubblica,ha pubblicato,è stato pubblicato,TransitiveFrame,range,domain,1,dbo:publisher,dbo:Book,dbo:Agent,masculine_il,libro,libri,masculine_l,agente,agenti,da
publish_2,verb,pubblicare,pubblica,ha pubblicato,è stato pubblicato,TransitiveFrame,range,domain,1,dbo:publisher,dbo:Book,dbo:Publisher,masculine_il,libro,libri,feminine_l,azienda,azienda,da
present,verb,presentare,presenta,ha presentato,è presentato da,TransitiveFrame,range,domain,1,dbo:presenter,dbo:TelevisionShow,dbo:Person,masculine_lo,show televisivo,show televisivi,feminine_la,persona,persone,da
speak,verb,parlare,parla,parlato,parlato,TransitiveFrame,range,domain,1,dbo:language,dbo:Language,dbo:Country,masculine,Lingua,Lingua,masculine,Lingua,Lingua,in
